series,episode,bakers,technical,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown
8,4,James,2,IN,'Windy City' Millionaire Shortbreads,Nutty Caramel Cake,46,Banker,"Brentwood, Essex"
8,4,Julia,9,IN,Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake,21,Aviation Broker,"Crawley, West Sussex"
8,4,Liam,3,IN,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake,19,Student,North London
8,4,Sophie,4,IN,Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,4,Stacey,1,IN,Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake,42,Former school teacher,"Radlett, Hertfordshire"
8,4,Steven,7,IN,Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake,34,Marketer,"Watford, Hertfordshire"
8,4,Yan,8,IN,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake,46,Laboratory research scientist,North London
8,4,Tom,5,OUT,Stem Ginger Caramel Shortbreads,Hummingbird Cake,29,Architect,Edinburgh
8,4,Kate,6,STAR BAKER,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake,29,Health and safety inspector,Merseyside
8,5,Julia,3,IN,Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine,21,Aviation Broker,"Crawley, West Sussex"
8,5,Kate,8,IN,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine,29,Health and safety inspector,Merseyside
8,5,Liam,2,IN,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine,19,Student,North London
8,5,Stacey,4,IN,Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine,42,Former school teacher,"Radlett, Hertfordshire"
8,5,Steven,5,IN,Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine,34,Marketer,"Watford, Hertfordshire"
8,5,Yan,6,IN,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine,46,Laboratory research scientist,North London
8,5,James,7,OUT,Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine,46,Banker,"Brentwood, Essex"
8,5,Sophie,1,STAR BAKER,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,6,Kate,5,IN,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze,29,Health and safety inspector,Merseyside
8,6,Sophie,2,IN,'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,6,Stacey,6,IN,'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango,42,Former school teacher,"Radlett, Hertfordshire"
8,6,Steven,3,IN,'Fleetwood Mac' Decorative Pies,Christmas Pie,34,Marketer,"Watford, Hertfordshire"
8,6,Yan,1,IN,'πr2' Decorative Pies,Chequerboard Pie,46,Laboratory research scientist,North London
8,6,Julia,7,OUT,'Pies from the Tree' Decorative Pies,'Special Occasion' Pie,21,Aviation Broker,"Crawley, West Sussex"
8,6,Liam,4,STAR BAKER,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie,19,Student,North London
8,7,Kate,6,IN,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle,29,Health and safety inspector,Merseyside
8,7,Liam,2,IN,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle,19,Student,North London
8,7,Sophie,3,IN,'Classics with a Twist' Cannoli,'Classics' Sfogliatelle,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,7,Stacey,4,IN,My All Time Favourite Desserts,Pastry Surprise,42,Former school teacher,"Radlett, Hertfordshire"
8,7,Yan,5,OUT,Cannoli Cocktails,Canadian-Style Sfogliatelle,46,Laboratory research scientist,North London
8,7,Steven,1,STAR BAKER,Italian Style Cannoli,'Sicilian-style' Sfogliatelle,34,Marketer,"Watford, Hertfordshire"
8,8,Kate,2,IN,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake,29,Health and safety inspector,Merseyside
8,8,Sophie,4,IN,Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,8,Steven,1,IN,'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake,34,Marketer,"Watford, Hertfordshire"
8,8,Liam,5,OUT,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake,19,Student,North London
8,8,Stacey,3,STAR BAKER,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake,42,Former school teacher,"Radlett, Hertfordshire"
8,9,Kate,4,IN,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece,29,Health and safety inspector,Merseyside
8,9,Steven,3,IN,Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece,34,Marketer,"Watford, Hertfordshire"
8,9,Stacey,2,OUT,'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece,42,Former school teacher,"Radlett, Hertfordshire"
8,9,Sophie,1,STAR BAKER,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
8,10,Kate,3,Runner-up,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet",29,Health and safety inspector,Merseyside
8,10,Steven,1,Runner-up,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet,34,Marketer,"Watford, Hertfordshire"
8,10,Sophie,2,WINNER,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
9,1,Antony,12,IN,NA,NA,30,Banker,London
9,1,Briony,2,IN,NA,NA,33,Full-time parent,Bristol
9,1,Dan,4,IN,NA,NA,36,Full-time parent,London
9,1,Jon,5,IN,NA,NA,47,Blood courier,Newport
9,1,Karen,6,IN,NA,NA,60,In-store sampling assistant,Wakefield
9,1,Kim-Joy,10,IN,NA,NA,27,Mental health specialist,Leeds
9,1,Luke,8,IN,NA,NA,30,Civil servant/house and techno DJ,Sheffield
9,1,Rahul,7,IN,NA,NA,30,Research scientist,Rotherham
9,1,Ruby,1,IN,NA,NA,29,Project manager,London
9,1,Terry,9,IN,NA,NA,56,Retired air steward,West Midlands
9,1,Imelda,11,OUT,NA,NA,33,Countryside recreation officer,County Tyrone
9,1,Manon,3,STAR BAKER,NA,NA,26,Software project manager,London
9,2,Antony,9,IN,NA,NA,30,Banker,London
9,2,Briony,5,IN,NA,NA,33,Full-time parent,Bristol
9,2,Dan,3,IN,NA,NA,36,Full-time parent,London
9,2,Jon,1,IN,NA,NA,47,Blood courier,Newport
9,2,Karen,11,IN,NA,NA,60,In-store sampling assistant,Wakefield
9,2,Kim-Joy,4,IN,NA,NA,27,Mental health specialist,Leeds
9,2,Manon,6,IN,NA,NA,26,Software project manager,London
9,2,Ruby,10,IN,NA,NA,29,Project manager,London
9,2,Terry,8,IN,NA,NA,56,Retired air steward,West Midlands
9,2,Luke,7,OUT,NA,NA,30,Civil servant/house and techno DJ,Sheffield
9,2,Rahul,2,STAR BAKER,NA,NA,30,Research scientist,Rotherham
9,3,Briony,9,IN,NA,NA,33,Full-time parent,Bristol
9,3,Dan,6,IN,NA,NA,36,Full-time parent,London
9,3,Jon,2,IN,NA,NA,47,Blood courier,Newport
9,3,Karen,5,IN,NA,NA,60,In-store sampling assistant,Wakefield
9,3,Kim-Joy,10,IN,NA,NA,27,Mental health specialist,Leeds
9,3,Manon,3,IN,NA,NA,26,Software project manager,London
9,3,Ruby,7,IN,NA,NA,29,Project manager,London
9,3,Terry,1,IN,NA,NA,56,Retired air steward,West Midlands
9,3,Antony,8,OUT,NA,NA,30,Banker,London
9,3,Rahul,4,STAR BAKER,NA,NA,30,Research scientist,Rotherham
9,4,Briony,5,IN,NA,NA,33,Full-time parent,Bristol
9,4,Jon,3,IN,NA,NA,47,Blood courier,Newport
9,4,Karen,7,IN,NA,NA,60,In-store sampling assistant,Wakefield
9,4,Kim-Joy,6,IN,NA,NA,27,Mental health specialist,Leeds
9,4,Manon,8,IN,NA,NA,26,Software project manager,London
9,4,Rahul,4,IN,NA,NA,30,Research scientist,Rotherham
9,4,Ruby,2,IN,NA,NA,29,Project manager,London
9,4,Dan,1,STAR BAKER,NA,NA,36,Full-time parent,London
9,5,Briony,6,IN,NA,NA,33,Full-time parent,Bristol
9,5,Dan,2,IN,NA,NA,36,Full-time parent,London
9,5,Jon,7,IN,NA,NA,47,Blood courier,Newport
9,5,Manon,5,IN,NA,NA,26,Software project manager,London
9,5,Rahul,3,IN,NA,NA,30,Research scientist,Rotherham
9,5,Ruby,1,IN,NA,NA,29,Project manager,London
9,5,Karen,9,OUT,NA,NA,60,In-store sampling assistant,Wakefield
9,5,Terry,8,OUT,NA,NA,56,Retired air steward,West Midlands
9,5,Kim-Joy,4,STAR BAKER,NA,NA,27,Mental health specialist,Leeds
9,6,Jon,2,IN,NA,NA,47,Blood courier,Newport
9,6,Kim-Joy,5,IN,NA,NA,27,Mental health specialist,Leeds
9,6,Manon,4,IN,NA,NA,26,Software project manager,London
9,6,Rahul,3,IN,NA,NA,30,Research scientist,Rotherham
9,6,Ruby,7,IN,NA,NA,29,Project manager,London
9,6,Dan,6,OUT,NA,NA,36,Full-time parent,London
9,6,Briony,1,STAR BAKER,NA,NA,33,Full-time parent,Bristol
9,7,Briony,5,IN,NA,NA,33,Full-time parent,Bristol
9,7,Manon,2,IN,NA,NA,26,Software project manager,London
9,7,Rahul,1,IN,NA,NA,30,Research scientist,Rotherham
9,7,Ruby,3,IN,NA,NA,29,Project manager,London
9,7,Jon,4,OUT,NA,NA,47,Blood courier,Newport
9,7,Kim-Joy,6,STAR BAKER,NA,NA,27,Mental health specialist,Leeds
9,8,Briony,1,IN,NA,NA,33,Full-time parent,Bristol
9,8,Kim-Joy,2,IN,NA,NA,27,Mental health specialist,Leeds
9,8,Rahul,5,IN,NA,NA,30,Research scientist,Rotherham
9,8,Manon,4,OUT,NA,NA,26,Software project manager,London
9,8,Ruby,3,STAR BAKER,NA,NA,29,Project manager,London
9,9,Kim-Joy,2,IN,NA,NA,27,Mental health specialist,Leeds
9,9,Rahul,4,IN,NA,NA,30,Research scientist,Rotherham
9,9,Briony,3,OUT,NA,NA,33,Full-time parent,Bristol
9,9,Ruby,1,STAR BAKER,NA,NA,29,Project manager,London
9,10,Kim-Joy,1,Runner-up,NA,NA,27,Mental health specialist,Leeds
9,10,Ruby,3,Runner-up,NA,NA,29,Project manager,London
9,10,Rahul,2,WINNER,NA,NA,30,Research scientist,Rotherham
10,1,Alice,5,IN,NA,NA,28,Geography teacher,Essex
10,1,Amelia,4,IN,NA,NA,24,Fashion designer,Halifax
10,1,David,10,IN,NA,NA,36,International health adviser,Whitby
10,1,Helena,12,IN,NA,NA,40,Online project manager,Leeds
10,1,Henry,1,IN,NA,NA,20,Student,Durham
10,1,Jamie,13,IN,NA,NA,20,Part-time waiter,Surrey
10,1,Michael,11,IN,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
10,1,Phil,8,IN,NA,NA,56,HGV driver,Rainham
10,1,Priya,7,IN,NA,NA,34,Marketing consultant,Leicester
10,1,Rosie,2,IN,NA,NA,28,Veterinary surgeon,Somerset
10,1,Steph,3,IN,NA,NA,28,Shop assistant,Chester
10,1,Dan,9,OUT,NA,NA,32,Support worker,Rotherham
10,1,Michelle,6,STAR BAKER,NA,NA,35,Print shop administrator,"Tenby, Wales"
10,2,Amelia,9,IN,NA,NA,24,Fashion designer,Halifax
10,2,David,2,IN,NA,NA,36,International health adviser,Whitby
10,2,Helena,12,IN,NA,NA,40,Online project manager,Leeds
10,2,Henry,6,IN,NA,NA,20,Student,Durham
10,2,Michael,4,IN,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
10,2,Michelle,8,IN,NA,NA,35,Print shop administrator,"Tenby, Wales"
10,2,Phil,3,IN,NA,NA,56,HGV driver,Rainham
10,2,Priya,7,IN,NA,NA,34,Marketing consultant,Leicester
10,2,Rosie,5,IN,NA,NA,28,Veterinary surgeon,Somerset
10,2,Steph,10,IN,NA,NA,28,Shop assistant,Chester
10,2,Jamie,11,OUT,NA,NA,20,Part-time waiter,Surrey
10,2,Alice,1,STAR BAKER,NA,NA,28,Geography teacher,Essex
10,3,Alice,7,IN,NA,NA,28,Geography teacher,Essex
10,3,David,2,IN,NA,NA,36,International health adviser,Whitby
10,3,Helena,8,IN,NA,NA,40,Online project manager,Leeds
10,3,Henry,1,IN,NA,NA,20,Student,Durham
10,3,Michelle,5,IN,NA,NA,35,Print shop administrator,"Tenby, Wales"
10,3,Phil,10,IN,NA,NA,56,HGV driver,Rainham
10,3,Priya,4,IN,NA,NA,34,Marketing consultant,Leicester
10,3,Rosie,9,IN,NA,NA,28,Veterinary surgeon,Somerset
10,3,Steph,3,IN,NA,NA,28,Shop assistant,Chester
10,3,Amelia,11,OUT,NA,NA,24,Fashion designer,Halifax
10,3,Michael,6,STAR BAKER,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
10,4,Alice,8,IN,NA,NA,28,Geography teacher,Essex
10,4,David,2,IN,NA,NA,36,International health adviser,Whitby
10,4,Helena,9,IN,NA,NA,40,Online project manager,Leeds
10,4,Henry,3,IN,NA,NA,20,Student,Durham
10,4,Michael,7,IN,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
10,4,Michelle,5,IN,NA,NA,35,Print shop administrator,"Tenby, Wales"
10,4,Priya,10,IN,NA,NA,34,Marketing consultant,Leicester
10,4,Rosie,4,IN,NA,NA,28,Veterinary surgeon,Somerset
10,4,Phil,6,OUT,NA,NA,56,HGV driver,Rainham
10,4,Steph,1,STAR BAKER,NA,NA,28,Shop assistant,Chester
10,5,Alice,6,IN,NA,NA,28,Geography teacher,Essex
10,5,David,9,IN,NA,NA,36,International health adviser,Whitby
10,5,Henry,3,IN,NA,NA,20,Student,Durham
10,5,Michael,8,IN,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
10,5,Priya,2,IN,NA,NA,34,Marketing consultant,Leicester
10,5,Rosie,5,IN,NA,NA,28,Veterinary surgeon,Somerset
10,5,Helena,1,OUT,NA,NA,40,Online project manager,Leeds
10,5,Michelle,7,OUT,NA,NA,35,Print shop administrator,"Tenby, Wales"
10,5,Steph,4,STAR BAKER,NA,NA,28,Shop assistant,Chester
10,6,Alice,1,IN,NA,NA,28,Geography teacher,Essex
10,6,David,2,IN,NA,NA,36,International health adviser,Whitby
10,6,Henry,4,IN,NA,NA,20,Student,Durham
10,6,Michael,6,IN,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
10,6,Rosie,5,IN,NA,NA,28,Veterinary surgeon,Somerset
10,6,Priya,7,OUT,NA,NA,34,Marketing consultant,Leicester
10,6,Steph,3,STAR BAKER,NA,NA,28,Shop assistant,Chester
10,7,Alice,6,IN,NA,NA,28,Geography teacher,Essex
10,7,David,2,IN,NA,NA,36,International health adviser,Whitby
10,7,Rosie,1,IN,NA,NA,28,Veterinary surgeon,Somerset
10,7,Steph,4,IN,NA,NA,28,Shop assistant,Chester
10,7,Michael,5,OUT,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
10,7,Henry,3,STAR BAKER,NA,NA,20,Student,Durham
10,8,Alice,3,IN,NA,NA,28,Geography teacher,Essex
10,8,David,1,IN,NA,NA,36,International health adviser,Whitby
10,8,Rosie,2,IN,NA,NA,28,Veterinary surgeon,Somerset
10,8,Henry,5,OUT,NA,NA,20,Student,Durham
10,8,Steph,4,STAR BAKER,NA,NA,28,Shop assistant,Chester
10,9,David,2,IN,NA,NA,36,International health adviser,Whitby
10,9,Steph,3,IN,NA,NA,28,Shop assistant,Chester
10,9,Rosie,1,OUT,NA,NA,28,Veterinary surgeon,Somerset
10,9,Alice,4,STAR BAKER,NA,NA,28,Geography teacher,Essex
10,10,Alice,2,Runner-up,NA,NA,28,Geography teacher,Essex
10,10,Steph,3,Runner-up,NA,NA,28,Shop assistant,Chester
10,10,David,1,WINNER,NA,NA,36,International health adviser,Whitby
1,1,Jasminder,NA,NA,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,45,Assistant Credit Control Manager,Birmingham
1,1,Louise,NA,NA,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",44,Police Officer,Manchester
1,1,Mark,NA,NA,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,48,Bus Driver,South Wales
1,1,Ruth,NA,NA,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,31,Retail manager/Housewife,"Poynton, Cheshire"
1,6,Miranda,NA,NA,Lemon Cupcake,Eliminated after signature,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
